Date,Month,count,year
17,March,134,2016
18,March,497,2016
19,March,1930,2016
20,March,416,2016
21,March,115,2016
22,March,83,2016
23,March,110,2016
24,March,302,2016
25,March,116,2016
26,March,937,2016
27,March,235,2016
28,March,75,2016
29,March,134,2016
30,March,114,2016
31,March,121,2016
1,April,406,2016
2,April,1898,2016
3,April,317,2016
4,April,122,2016
5,April,75,2016
6,April,86,2016
7,April,123,2016
8,April,415,2016
9,April,1492,2016
10,April,269,2016
11,April,129,2016
12,April,80,2016
13,April,71,2016
14,April,125,2016
15,April,396,2016
16,April,1694,2016
17,April,241,2016
18,April,118,2016
19,April,64,2016
20,April,98,2016
21,April,123,2016
22,April,323,2016
23,April,1410,2016
24,April,499,2016
25,April,63,2016
26,April,99,2016
27,April,78,2016
28,April,105,2016
29,April,280,2016
30,April,1231,2016
1,May,319,2016
2,May,86,2016
3,May,55,2016
4,May,103,2016
5,May,130,2016
6,May,315,2016
7,May,1118,2016
8,May,194,2016
9,May,100,2016
10,May,62,2016
11,May,85,2016
12,May,117,2016
13,May,192,2016
14,May,1033,2016
15,May,226,2016
16,May,125,2016
17,May,63,2016
18,May,82,2016
19,May,82,2016
20,May,278,2016
21,May,1027,2016
22,May,207,2016
23,May,88,2016
24,May,59,2016
25,May,65,2016
26,May,79,2016
27,May,196,2016
28,May,880,2016
29,May,153,2016
30,May,69,2016
31,May,49,2016
1,June,106,2016
2,June,89,2016
3,June,185,2016
4,June,758,2016
5,June,190,2016
6,June,156,2016
7,June,53,2016
8,June,78,2016
9,June,103,2016
10,June,212,2016
11,June,681,2016
12,June,297,2016
13,June,59,2016
14,June,65,2016
15,June,67,2016
16,June,112,2016
17,June,161,2016
18,June,720,2016
19,June,147,2016
20,June,86,2016
21,June,78,2016
22,June,83,2016
23,June,62,2016
24,June,199,2016
25,June,671,2016
26,June,187,2016
27,June,99,2016
28,June,87,2016
29,June,56,2016
30,June,91,2016
1,July,209,2016
2,July,724,2016
3,July,172,2016
4,July,91,2016
5,July,55,2016
6,July,59,2016
7,July,122,2016
8,July,226,2016
9,July,637,2016
10,July,176,2016
11,July,73,2016
12,July,75,2016
13,July,68,2016
14,July,86,2016
15,July,168,2016
16,July,645,2016
17,July,151,2016
18,July,96,2016
19,July,65,2016
20,July,75,2016
21,July,88,2016
22,July,183,2016
23,July,548,2016
24,July,138,2016
25,July,98,2016
26,July,43,2016
27,July,48,2016
28,July,88,2016
29,July,180,2016
30,July,589,2016
31,July,156,2016
1,August,95,2016
2,August,52,2016
3,August,59,2016
4,August,82,2016
5,August,194,2016
6,August,819,2016
7,August,181,2016
8,August,201,2016
9,August,57,2016
10,August,78,2016
11,August,71,2016
12,August,227,2016
13,August,640,2016
14,August,166,2016
15,August,98,2016
16,August,88,2016
17,August,55,2016
18,August,106,2016
19,August,250,2016
20,August,1008,2016
21,August,180,2016
22,August,104,2016
23,August,68,2016
24,August,59,2016
25,August,91,2016
26,August,324,2016
27,August,1040,2016
28,August,304,2016
29,August,97,2016
30,August,59,2016
31,August,58,2016
1,September,158,2016
2,September,258,2016
3,September,1266,2016
4,September,212,2016
5,September,103,2016
6,September,82,2016
7,September,76,2016
8,September,122,2016
9,September,415,2016
10,September,1377,2016
11,September,174,2016
12,September,89,2016
13,September,69,2016
14,September,85,2016
15,September,90,2016
16,September,428,2016
17,September,1503,2016
18,September,309,2016
19,September,127,2016
20,September,104,2016
21,September,75,2016
22,September,124,2016
23,September,422,2016
24,September,1703,2016
25,September,434,2016
26,September,122,2016
27,September,111,2016
28,September,133,2016
29,September,144,2016
30,September,457,2016
1,October,1687,2016
2,October,595,2016
3,October,127,2016
4,October,76,2016
5,October,119,2016
6,October,122,2016
7,October,457,2016
8,October,1774,2016
9,October,269,2016
10,October,171,2016
11,October,81,2016
12,October,124,2016
13,October,108,2016
14,October,416,2016
15,October,1941,2016
16,October,405,2016
17,October,189,2016
18,October,114,2016
19,October,77,2016
20,October,142,2016
21,October,456,2016
22,October,1859,2016
23,October,324,2016
24,October,399,2016
25,October,135,2016
26,October,107,2016
27,October,147,2016
28,October,460,2016
29,October,1763,2016
30,October,435,2016
31,October,470,2016
1,November,243,2016
2,November,141,2016
3,November,91,2016
4,November,423,2016
5,November,1784,2016
6,November,393,2016
7,November,601,2016
8,November,190,2016
9,November,104,2016
10,November,153,2016
11,November,563,2016
12,November,1802,2016
13,November,294,2016
14,November,766,2016
15,November,191,2016
16,November,105,2016
17,November,122,2016
18,November,486,2016
19,November,1480,2016
20,November,421,2016
21,November,794,2016
22,November,216,2016
23,November,133,2016
24,November,130,2016
25,November,353,2016
26,November,1319,2016
